student_id,merchant_type,merchant_name,amount,balance,terminal_id,consumed_at,is_valid,batch_no
202203001,1,第一食堂3楼03号窗口,6.18,295.9,T04052,2026-05-01 07:36:00,1,gen_20260922_200_30
202203001,1,教工风味餐厅3楼09号窗口,11.67,284.23,T01078,2026-05-01 11:30:00,1,gen_20260922_200_30
202203001,1,第二食堂2楼02号窗口,15.7,268.53,T05017,2026-05-01 18:46:00,1,gen_20260922_200_30
202301001,1,第二食堂3楼08号窗口,4.87,602.73,T00032,2026-05-01 08:11:00,1,gen_20260922_200_30
202301001,1,第二食堂3楼10号窗口,20.45,582.28,T06107,2026-05-01 11:33:00,1,gen_20260922_200_30
202301001,1,第三食堂（清真）3楼11号窗口,7.77,574.51,T04097,2026-05-01 18:53:00,1,gen_20260922_200_30
202308001,1,第三食堂（清真）2楼08号窗口,5.55,786.45,T06087,2026-05-01 08:21:00,1,gen_20260922_200_30
202308001,2,佰利源超市,38.39,748.06,T02025,2026-05-01 21:43:00,1,gen_20260922_200_30
202302001,1,教工风味餐厅3楼06号窗口,5.0,563.88,T05039,2026-05-01 11:33:00,1,gen_20260922_200_30
202302001,1,第一食堂2楼03号窗口,12.99,550.9,T07103,2026-05-01 17:41:00,1,gen_20260922_200_30
202302001,2,佰利源超市,4.65,546.24,T00053,2026-05-01 19:56:00,1,gen_20260922_200_30
202302001,5,教工风味餐厅夜宵档,9.49,536.75,T00018,2026-05-01 23:59:00,1,gen_20260922_200_30
202202001,1,教工风味餐厅2楼10号窗口,14.76,331.84,T01115,2026-05-01 08:26:00,1,gen_20260922_200_30
202202001,1,第一食堂1楼01号窗口,13.92,317.92,T03003,2026-05-01 11:57:00,1,gen_20260922_200_30
202202001,1,第一食堂2楼06号窗口,20.06,297.85,T00064,2026-05-01 18:42:00,1,gen_20260922_200_30
202102001,1,教工风味餐厅3楼07号窗口,6.32,594.51,T03039,2026-05-01 07:24:00,1,gen_20260922_200_30
202102001,2,洗护用品店,30.98,563.52,T03064,2026-05-01 18:06:00,1,gen_20260922_200_30
202102001,1,教工风味餐厅1楼08号窗口,21.61,541.92,T06086,2026-05-01 18:07:00,1,gen_20260922_200_30
202102002,1,第一食堂1楼03号窗口,9.16,659.78,T05089,2026-05-01 07:46:00,1,gen_20260922_200_30
202102002,1,教工风味餐厅1楼06号窗口,21.06,638.72,T05076,2026-05-01 11:55:00,1,gen_20260922_200_30
202102002,1,翡翠湖美食广场3楼02号窗口,16.01,622.71,T02003,2026-05-01 17:26:00,1,gen_20260922_200_30
202104001,1,教工风味餐厅1楼10号窗口,5.87,561.93,T07085,2026-05-01 07:57:00,1,gen_20260922_200_30
202104001,1,翡翠湖美食广场3楼06号窗口,9.92,552.01,T05033,2026-05-01 12:32:00,1,gen_20260922_200_30
202104001,1,第三食堂（清真）2楼03号窗口,11.77,540.24,T00020,2026-05-01 17:41:00,1,gen_20260922_200_30
202302002,1,第二食堂1楼04号窗口,7.26,405.93,T01057,2026-05-01 07:11:00,1,gen_20260922_200_30
202302002,1,第一食堂3楼03号窗口,9.05,396.88,T03116,2026-05-01 12:55:00,1,gen_20260922_200_30
202302002,1,第一食堂1楼01号窗口,10.5,386.39,T02064,2026-05-01 17:53:00,1,gen_20260922_200_30
202302002,2,校园生活超市,42.36,344.03,T02066,2026-05-01 21:23:00,1,gen_20260922_200_30
202201001,1,第一食堂2楼10号窗口,3.43,725.45,T07106,2026-05-01 08:00:00,1,gen_20260922_200_30
202201001,1,教工风味餐厅1楼10号窗口,10.15,715.3,T04006,2026-05-01 11:29:00,1,gen_20260922_200_30
